Sketch,Type,x,y,z
0,XY,0.0082,0.7503,0.0
0,XY,0.0109,0.7505,0.0
0,XY,0.0136,0.7506999999999999,0.0
0,XY,0.016300000000000002,0.7511,0.0
0,XY,0.019,0.7515,0.0
0,XY,0.0217,0.7519,0.0
0,XY,0.024399999999999998,0.7524000000000001,0.0
0,XY,0.0271,0.753,0.0
0,XY,0.0297,0.7536,0.0
0,XY,0.0324,0.7543,0.0
0,XY,0.034999999999999996,0.755,0.0
0,XY,0.037599999999999995,0.7558,0.0
0,XY,0.0402,0.7565999999999999,0.0
0,XY,0.0428,0.7575000000000001,0.0
0,XY,0.0453,0.7585,0.0
0,XY,0.0478,0.7595000000000001,0.0
0,XY,0.0503,0.7605999999999999,0.0
0,XY,0.05280000000000001,0.7617,0.0
0,XY,0.0553,0.7629,0.0
0,XY,0.0577,0.7641,0.0
0,XY,0.0601,0.7654,0.0
0,XY,0.0625,0.7667,0.0
0,XY,0.0625,0.7667,0.0
0,XY,0.0986,0.7873,0.0
0,XY,0.1348,0.8071,0.0
0,XY,0.17099999999999999,0.8261000000000001,0.0
0,XY,0.2072,0.8445000000000001,0.0
0,XY,0.2434,0.8622,0.0
0,XY,0.27959999999999996,0.8792,0.0
0,XY,0.3159,0.8954,0.0
0,XY,0.3522,0.9108999999999999,0.0
0,XY,0.3885,0.9257999999999998,0.0
0,XY,0.4248,0.9399000000000001,0.0
0,XY,0.46109999999999995,0.9533,0.0
0,XY,0.49750000000000005,0.966,0.0
0,XY,0.5337999999999999,0.9780000000000001,0.0
0,XY,0.5701999999999999,0.9892999999999998,0.0
0,XY,0.6066,0.9999000000000001,0.0
0,XY,0.6431,1.0098,0.0
0,XY,0.6795,1.0189,0.0
0,XY,0.716,1.0274,0.0
0,XY,0.7525,1.0351,0.0
0,XY,0.7889999999999999,1.0422,0.0
0,XY,0.8255,1.0485000000000002,0.0
0,XY,0.8621,1.0541,0.0
0,XY,0.8986,1.059,0.0
0,XY,0.9351999999999999,1.0632,0.0
0,XY,0.9351999999999999,1.0632,0.0
0,XY,0.9351999999999999,0.5632,0.0
