Sketch,Type,x,y,z
0,XY,0.9351999999999999,0.5632,0.0
0,XY,0.8986,0.559,0.0
0,XY,0.8621,0.5541,0.0
0,XY,0.8255,0.5485,0.0
0,XY,0.7889999999999999,0.5422,0.0
0,XY,0.7525,0.5351,0.0
0,XY,0.716,0.5274,0.0
0,XY,0.6795,0.5189,0.0
0,XY,0.6431,0.5098,0.0
0,XY,0.6066,0.4999,0.0
0,XY,0.5701999999999999,0.48929999999999996,0.0
0,XY,0.5337999999999999,0.47800000000000004,0.0
0,XY,0.49750000000000005,0.466,0.0
0,XY,0.46109999999999995,0.4533,0.0
0,XY,0.4248,0.4399,0.0
0,XY,0.3885,0.42579999999999996,0.0
0,XY,0.3522,0.4109,0.0
0,XY,0.3159,0.39540000000000003,0.0
0,XY,0.27959999999999996,0.3792,0.0
0,XY,0.2434,0.36219999999999997,0.0
0,XY,0.2072,0.34450000000000003,0.0
0,XY,0.17099999999999999,0.3261,0.0
0,XY,0.1348,0.3071,0.0
0,XY,0.0986,0.2873,0.0
0,XY,0.0625,0.2667,0.0
0,XY,0.0625,0.2667,0.0
0,XY,0.0601,0.2654,0.0
0,XY,0.0577,0.2641,0.0
0,XY,0.0553,0.26289999999999997,0.0
0,XY,0.05280000000000001,0.2617,0.0
0,XY,0.0503,0.2606,0.0
0,XY,0.0478,0.2595,0.0
0,XY,0.0453,0.2585,0.0
0,XY,0.0428,0.2575,0.0
0,XY,0.0402,0.2566,0.0
0,XY,0.037599999999999995,0.25579999999999997,0.0
0,XY,0.034999999999999996,0.255,0.0
0,XY,0.0324,0.2543,0.0
0,XY,0.0297,0.2536,0.0
0,XY,0.0271,0.253,0.0
0,XY,0.024399999999999998,0.2524,0.0
0,XY,0.0217,0.2519,0.0
0,XY,0.019,0.2515,0.0
0,XY,0.016300000000000002,0.25110000000000005,0.0
0,XY,0.0136,0.25070000000000003,0.0
0,XY,0.0109,0.2505,0.0
0,XY,0.0082,0.2503,0.0
0,XY,0.0055000000000000005,0.25010000000000004,0.0
0,XY,0.0026999999999999997,0.25,0.0
0,XY,0.0,0.25,0.0
0,XY,7.654042494670958e-18,0.25,0.0
0,XY,-0.0020034809537717024,0.2500160567750086,0.0
0,XY,-0.004006447196456901,0.25006422297491404,0.0
0,XY,-0.006008384149202594,0.2501444862254149,0.0
0,XY,-0.008008777497589104,0.25025682590620796,0.0
0,XY,-0.01000711332376165,0.2504012131562855,0.0
0,XY,-0.012002878238460222,0.2505776108813502,0.0
0,XY,-0.013995559512913477,0.25078597376334466,0.0
0,XY,-0.015984645210563236,0.25102624827209424,0.0
0,XY,-0.017969624318585183,0.2512983726790593,0.0
0,XY,-0.019949986879172397,0.2516022770731937,0.0
0,XY,-0.021925224120547693,0.25193788337890594,0.0
0,XY,-0.023894828587671522,0.25230510537611683,0.0
0,XY,-0.02585829427261135,0.2527038487224106,0.0
0,XY,-0.027815116744539292,0.25313401097727206,0.0
0,XY,-0.029764793279324755,0.25359548162840456,0.0
0,XY,-0.0317068229886884,0.2540881421201213,0.0
0,XY,-0.0336407069488846,0.2546118658838037,0.0
0,XY,-0.03556594832887904,0.25516651837041743,0.0
0,XY,-0.03748205251798894,0.25575195708507953,0.0
0,XY,-0.03938852725295258,0.2563680316236664,0.0
0,XY,-0.04128488274439587,0.2570145837114541,0.0
0,XY,-0.04317063180266344,0.25769144724377996,0.0
0,XY,-0.04504528996298165,0.2583984483287169,0.0
0,XY,-0.04690837560992176,0.2591354053317473,0.0
0,XY,-0.04875941010113085,0.2599021289224265,0.0
0,XY,-0.05059791789029921,0.2606984221230234,0.0
0,XY,-0.0524234266493321,0.261524080359126,0.0
0,XY,-0.05423546738969476,0.2623788915121976,0.0
0,XY,-0.05603357458289961,0.26326263597407257,0.0
0,XY,-0.05781728628010439,0.264175086703375,0.0
