Sketch,Plane,x,z,y
0,XY,-16.484619407771255,0.0,0.0
0,XY,-16.484619407771255,2.0,0.0
0,XY,-16.484619407771255,2.0,0.0
0,XY,-16.488426759791025,2.0000604149140178,0.0
0,XY,-16.492230278130044,2.000241598823374,0.0
0,XY,-16.49602613296776,2.00054336929123,0.0
0,XY,-16.499810502200106,2.000965422460305,0.0
0,XY,-16.503579575288057,2.0015073333588327,0.0
0,XY,-16.507329557094504,2.0021685563284755,0.0
0,XY,-16.51105667170564,2.0029484255737513,0.0
0,XY,-16.514757166232986,2.0038461558324374,0.0
0,XY,-16.518427314592227,2.0048608431662602,0.0
0,XY,-16.522063421255073,2.0059914658710865,0.0
0,XY,-16.525661824970335,2.0072368855056912,0.0
0,XY,-16.529218902450495,2.008595848038071,0.0
0,XY,-16.53273107202005,2.0100669851081516,0.0
0,XY,-16.536194797221956,2.0116488154056054,0.0
0,XY,-16.539606590378543,2.0133397461614093,0.0
0,XY,-16.54296301610331,2.0151380747516257,0.0
0,XY,-16.546260694760065,2.017041990411803,0.0
0,XY,-16.549496305865926,2.0190495760602585,0.0
0,XY,-16.55266659143479,2.02115881022842,0.0
0,XY,-16.555768359257815,2.023367569096273,0.0
0,XY,-16.55879848611773,2.0256736286308654,0.0
0,XY,-16.56175392093364,2.028074666825723,0.0
0,XY,-16.564631687833213,2.0305682660389097,0.0
0,XY,-16.56742888914911,2.0331519154273914,0.0
0,XY,-16.570142708336718,2.0358230134752415,0.0
0,XY,-16.572770412810158,2.038578870613144,0.0
0,XY,-16.57530935669377,2.0414167119265656,0.0
0,XY,-16.577756983486267,2.0443336799498573,0.0
0,XY,-16.580110828634957,2.04732683754348,0.0
0,XY,-16.582368522017298,2.0503931708514562,0.0
0,XY,-16.584527790327428,2.0535295923360666,0.0
0,XY,-16.5865864593652,2.0567329438867397,0.0
0,XY,-16.58854245622539,2.06,0.0
0,XY,-16.590393811384967,2.063327471027278,0.0
0,XY,-16.592138660686217,2.0667120064873075,0.0
0,XY,-16.5937752472138,2.070150198439774,0.0
0,XY,-16.595301923063808,2.0736385849168246,0.0
0,XY,-16.59671715100307,2.0771736534089755,0.0
0,XY,-16.598019506017017,2.080751844401909,0.0
0,XY,-16.599207676744545,2.084369554960607,0.0
0,XY,-16.60028046679845,2.088023142357196,0.0
0,XY,-16.60123679597008,2.091708927738869,0.0
0,XY,-16.60207570131703,2.0954231998321773,0.0
0,XY,-16.602796338132723,2.0991622186799686,0.0
0,XY,-16.60339798079697,2.1029222194072057,0.0
0,XY,-16.603880023506605,2.106699416011879,0.0
0,XY,-16.60424198088549,2.1104900051771853,0.0
0,XY,-16.604483488473218,2.114290170101151,0.0
0,XY,-16.60460430309212,2.118096084339823,0.0
0,XY,-16.60460430309212,2.1219039156601767,0.0
0,XY,-16.604483488473218,2.1257098298988493,0.0
0,XY,-16.60424198088549,2.129509994822815,0.0
0,XY,-16.603880023506605,2.133300583988121,0.0
