Sketch,Plane,x,y,z
0,XY,-8.901776695296636,0.0,0.0
0,XY,-8.901776695296636,2.09,0.0
0,XY,-8.901776695296636,2.09,0.0
0,XY,-6.901776695296637,2.09,0.0
0,XY,-6.901776695296637,2.09,0.0
0,XY,-6.901776695296637,2.34,0.0
0,XY,-6.901776695296637,2.34,0.0
0,XY,-9.651776695296638,2.34,0.0
0,XY,-9.651776695296638,2.34,0.0
0,XY,-9.651776695296638,0.35000000000000003,0.0
0,XY,-9.651776695296638,0.0,0.0
0,XY,-8.901776695296636,0.0,0.0
1,YZ,-9.651776695296638,0.1,0.25
1,YZ,-9.651776695296638,0.09979866764718845,0.25634239196565645
1,YZ,-9.651776695296638,0.09919548128307952,0.26265924535737495
1,YZ,-9.651776695296638,0.09819286972627067,0.268925124436041
1,YZ,-9.651776695296638,0.09679487013963563,0.27511479871810796
1,YZ,-9.651776695296638,0.09500711177409454,0.2812033445698487
1,YZ,-9.651776695296638,0.09283679330160725,0.28716624556603276
1,YZ,-9.651776695296638,0.09029265382866213,0.2929794912089172
1,YZ,-9.651776695296638,0.08738493770697849,0.2986196736100469
1,YZ,-9.651776695296638,0.08412535328311813,0.30406408174555977
1,YZ,-9.651776695296638,0.08052702575310586,0.309290792905464
1,YZ,-9.651776695296638,0.0766044443118978,0.3142787609686539
1,YZ,-9.651776695296638,0.07237340381050701,0.3190079011482112
1,YZ,-9.651776695296638,0.06785094115571322,0.3234591708657533
1,YZ,-9.651776695296638,0.06305526670845225,0.32761464642917565
1,YZ,-9.651776695296638,0.05800569095711982,0.3314575952050336
1,YZ,-9.651776695296638,0.05272254676105024,0.33497254299495144
1,YZ,-9.651776695296638,0.04722710747726827,0.33814533634475824
1,YZ,-9.651776695296638,0.041541501300188646,0.34096319953545184
1,YZ,-9.651776695296638,0.035688622159187194,0.34341478602651065
1,YZ,-9.651776695296638,0.02969203753282749,0.3454902241444074
1,YZ,-9.651776695296638,0.02357589355094273,0.3471811568323542
1,YZ,-9.651776695296638,0.01736481776669304,0.3484807753012208
1,YZ,-9.651776695296638,0.011083819990101109,0.3493838464461254
1,YZ,-9.651776695296638,0.0047581915823742185,0.34988673391830083
1,YZ,-9.651776695296638,-0.001586596383480803,0.3499874127673875
1,YZ,-9.651776695296638,-0.007924995685678855,0.3496854775951942
1,YZ,-9.651776695296638,-0.014231483827328523,0.34898214418809326
1,YZ,-9.651776695296638,-0.020480666806519075,0.34788024462147793
1,YZ,-9.651776695296638,-0.026647381369003503,0.3463842158559942
1,YZ,-9.651776695296638,-0.032706796331742165,0.34450008187146686
1,YZ,-9.651776695296638,-0.038634512569312864,0.34223542941045815
1,YZ,-9.651776695296638,-0.044406661260577414,0.3395993774291336
1,YZ,-9.651776695296638,-0.050000000000000024,0.33660254037844384
1,YZ,-9.651776695296638,-0.05539200638661103,0.33325698546347715
1,YZ,-9.651776695296638,-0.060560968713766684,0.3295761840530832
1,YZ,-9.651776695296638,-0.0654860733945285,0.3255749574354258
1,YZ,-9.651776695296638,-0.07014748877063215,0.32126941713788626
1,YZ,-9.651776695296638,-0.07452644496757546,0.3166769000516292
1,YZ,-9.651776695296638,-0.07860530947427875,0.31181589862206055
1,YZ,-9.651776695296638,-0.08236765814298327,0.3067059863862771
1,YZ,-9.651776695296638,-0.0857983413234977,0.3013677391573406
1,YZ,-9.651776695296638,-0.08888354486549234,0.29582265217274106
1,YZ,-9.651776695296638,-0.09161084574320696,0.29009305354066134
1,YZ,-9.651776695296638,-0.09396926207859084,0.28420201433256687
1,YZ,-9.651776695296638,-0.09594929736144973,0.278173255684143
1,YZ,-9.651776695296638,-0.09754297868854071,0.27203105327865407
1,YZ,-9.651776695296638,-0.09874388886763943,0.265800139597335
1,YZ,-9.651776695296638,-0.09954719225730847,0.25950560433041825
1,YZ,-9.651776695296638,-0.09994965423831852,0.25317279334980675
1,YZ,-9.651776695296638,-0.09994965423831852,0.2468272066501932
1,YZ,-9.651776695296638,-0.09954719225730847,0.24049439566958172
1,YZ,-9.651776695296638,-0.09874388886763943,0.234199860402665
1,YZ,-9.651776695296638,-0.09754297868854071,0.22796894672134593
1,YZ,-9.651776695296638,-0.09594929736144973,0.221826744315857
1,YZ,-9.651776695296638,-0.09396926207859084,0.21579798566743313
1,YZ,-9.651776695296638,-0.09161084574320696,0.2099069464593386
1,YZ,-9.651776695296638,-0.08888354486549235,0.20417734782725896
1,YZ,-9.651776695296638,-0.08579834132349769,0.19863226084265934
1,YZ,-9.651776695296638,-0.08236765814298329,0.19329401361372292
1,YZ,-9.651776695296638,-0.07860530947427874,0.18818410137793948
1,YZ,-9.651776695296638,-0.07452644496757548,0.18332309994837084
1,YZ,-9.651776695296638,-0.07014748877063214,0.1787305828621137
1,YZ,-9.651776695296638,-0.06548607339452853,0.1744250425645742
1,YZ,-9.651776695296638,-0.060560968713766664,0.1704238159469168
1,YZ,-9.651776695296638,-0.05539200638661105,0.16674301453652288
1,YZ,-9.651776695296638,-0.04999999999999996,0.1633974596215561
1,YZ,-9.651776695296638,-0.04440666126057739,0.1604006225708664
1,YZ,-9.651776695296638,-0.038634512569312864,0.15776457058954185
1,YZ,-9.651776695296638,-0.032706796331742186,0.1554999181285332
1,YZ,-9.651776695296638,-0.026647381369003464,0.15361578414400578
1,YZ,-9.651776695296638,-0.020480666806519054,0.15211975537852213
1,YZ,-9.651776695296638,-0.014231483827328523,0.15101785581190671
1,YZ,-9.651776695296638,-0.007924995685678879,0.15031452240480578
1,YZ,-9.651776695296638,-0.0015865963834807608,0.1500125872326125
