Sketch,Plane,x,y,z
0,XY,-10.484619407771255,2.9899999999999998,0.0
0,XY,-8.984619407771257,3.64,0.0
0,XY,-8.984619407771257,3.64,0.0
0,XY,-3.9846194077712562,3.64,0.0
0,XY,-3.9846194077712562,3.64,0.0
0,XY,-2.484619407771256,2.9899999999999998,0.0
0,XY,-2.484619407771256,2.9899999999999998,0.0
0,XY,-10.484619407771255,2.9899999999999998,0.0
1,YZ,-6.984619407771256,1.0,3.64
1,YZ,-6.984619407771256,0.25,3.64
1,YZ,-6.984619407771256,0.25,3.64
1,YZ,-6.984619407771256,0.25,3.44
1,YZ,-6.984619407771256,0.25,3.44
1,YZ,-6.984619407771256,1.0,3.44
1,YZ,-6.984619407771256,1.0,3.44
1,YZ,-6.984619407771256,1.0,3.19
1,YZ,-6.984619407771256,1.0,3.19
1,YZ,-6.984619407771256,-1.0,3.19
1,YZ,-6.984619407771256,-1.0,3.19
1,YZ,-6.984619407771256,-1.0,3.44
1,YZ,-6.984619407771256,-1.0,3.44
1,YZ,-6.984619407771256,-0.25,3.44
1,YZ,-6.984619407771256,-0.25,3.44
1,YZ,-6.984619407771256,-0.25,3.64
1,YZ,-6.984619407771256,-0.25,3.64
1,YZ,-6.984619407771256,-1.0,3.64
1,YZ,-6.984619407771256,-1.0,3.64
1,YZ,-6.984619407771256,-2.3873283854022103,1.800211982032359
1,YZ,-6.984619407771256,-2.3873283854022103,1.800211982032359
1,YZ,-6.984619407771256,-2.353284543094844,1.8444923039229228
1,YZ,-6.984619407771256,-2.318419500505987,1.888128973262571
1,YZ,-6.984619407771256,-2.2827454241128597,1.9311067626342673
1,YZ,-6.984619407771256,-2.2462747627124684,1.9734106745431992
1,YZ,-6.984619407771256,-2.209020243077484,2.0150259466502893
1,YZ,-6.984619407771256,-2.170994865515115,2.055938056923653
1,YZ,-6.984619407771256,-2.132211899330533,2.0961327287061953
1,YZ,-6.984619407771256,-2.092684878196427,2.1355959356975758
1,YZ,-6.984619407771256,-2.052427595430301,2.174313906848823
1,YZ,-6.984619407771256,-2.011454099181172,2.2122731311678625
1,YZ,-6.984619407771256,-1.9697786875273366,2.249460362434307
1,YZ,-6.984619407771256,-1.927415903486928,2.2858626238218402
1,YZ,-6.984619407771256,-1.8843805299429945,2.3214672124266067
1,YZ,-6.984619407771256,-1.8406875844848736,2.356261703700003
1,YZ,-6.984619407771256,-1.796352314167675,2.390233955784337
1,YZ,-6.984619407771256,-1.7513901901916693,2.423372113749844
1,YZ,-6.984619407771256,-1.7058169025034784,2.4556646137315736
1,YZ,-6.984619407771256,-1.6596483543209208,2.4871001869647027
1,YZ,-6.984619407771256,-1.612900656583438,2.5176678637168792
1,YZ,-6.984619407771256,-1.565590122330034,2.5473569771162086
1,YZ,-6.984619407771256,-1.517733261006694,2.576157166873556
1,YZ,-6.984619407771256,-1.4693467727052545,2.604058382897867
1,YZ,-6.984619407771256,-1.4204475423357577,2.6310508888032373
1,YZ,-6.984619407771256,-1.3710526337343047,2.6571252653065165
1,YZ,-6.984619407771256,-1.3211792837084755,2.6822724135142497
1,YZ,-6.984619407771256,-1.270844896022383,2.7064835580978244
1,YZ,-6.984619407771256,-1.2200670353234708,2.729750250355698
1,YZ,-6.984619407771256,-1.1688634210131719,2.752064371161653
1,YZ,-6.984619407771256,-1.1172519210635532,2.773418133798039
1,YZ,-6.984619407771256,-1.0652505457821284,2.793804086673022
1,YZ,-6.984619407771256,-1.012877441526992,2.8132151159208805
1,YZ,-6.984619407771256,-0.9601508843744836,2.831644447884462
1,YZ,-6.984619407771256,-0.9070892737415805,2.849085651478904
1,YZ,-6.984619407771256,-0.8537111259652527,2.86553264043583
1,YZ,-6.984619407771256,-0.8000350678410201,2.8809796754272
1,YZ,-6.984619407771256,-0.7460798301229548,2.895421366068107
1,YZ,-6.984619407771256,-0.6918642409874164,2.9088526727978006
1,YZ,-6.984619407771256,-0.6374072194627861,2.9212689086382855
1,YZ,-6.984619407771256,-0.582727768827497,2.93266574082989
1,YZ,-6.984619407771256,-0.5278449699786661,2.943039192343218
1,YZ,-6.984619407771256,-0.47277797477363803,2.952385643266973
1,YZ,-6.984619407771256,-0.41754599934677356,2.9607018320711567
1,YZ,-6.984619407771256,-0.362168317403795,2.9679848567452134
1,YZ,-6.984619407771256,-0.306664253496055,2.9742321758107098
1,YZ,-6.984619407771256,-0.25105317627705465,2.9794416092082088
1,YZ,-6.984619407771256,-0.19535449174357353,2.983611339058023
1,YZ,-6.984619407771256,-0.13958763646377126,2.986739910294577
1,YZ,-6.984619407771256,-0.08377207079461355,2.988826231174168
1,YZ,-6.984619407771256,-0.027927272091007035,2.98986957365594
1,YZ,-6.984619407771256,0.0279272720910074,2.98986957365594
1,YZ,-6.984619407771256,0.0837720707946139,2.988826231174168
1,YZ,-6.984619407771256,0.13958763646377098,2.986739910294577
1,YZ,-6.984619407771256,0.19535449174357392,2.983611339058023
1,YZ,-6.984619407771256,0.2510531762770543,2.9794416092082088
1,YZ,-6.984619407771256,0.30666425349605536,2.9742321758107098
1,YZ,-6.984619407771256,0.36216831740379535,2.9679848567452134
1,YZ,-6.984619407771256,0.41754599934677383,2.9607018320711567
1,YZ,-6.984619407771256,0.47277797477363837,2.9523856432669726
1,YZ,-6.984619407771256,0.5278449699786653,2.943039192343218
1,YZ,-6.984619407771256,0.5827277688274968,2.93266574082989
1,YZ,-6.984619407771256,0.6374072194627859,2.9212689086382855
1,YZ,-6.984619407771256,0.6918642409874168,2.9088526727978
1,YZ,-6.984619407771256,0.746079830122955,2.895421366068107
1,YZ,-6.984619407771256,0.8000350678410204,2.8809796754272
1,YZ,-6.984619407771256,0.853711125965253,2.8655326404358297
1,YZ,-6.984619407771256,0.9070892737415798,2.8490856514789042
1,YZ,-6.984619407771256,0.9601508843744835,2.831644447884462
1,YZ,-6.984619407771256,1.0128774415269926,2.8132151159208805
1,YZ,-6.984619407771256,1.0652505457821286,2.793804086673022
1,YZ,-6.984619407771256,1.1172519210635536,2.773418133798039
1,YZ,-6.984619407771256,1.1688634210131723,2.752064371161653
1,YZ,-6.984619407771256,1.220067035323471,2.729750250355698
1,YZ,-6.984619407771256,1.2708448960223828,2.7064835580978244
1,YZ,-6.984619407771256,1.3211792837084755,2.6822724135142497
1,YZ,-6.984619407771256,1.3710526337343052,2.6571252653065165
1,YZ,-6.984619407771256,1.4204475423357579,2.6310508888032373
1,YZ,-6.984619407771256,1.469346772705255,2.6040583828978665
1,YZ,-6.984619407771256,1.5177332610066943,2.5761571668735557
1,YZ,-6.984619407771256,1.5655901223300344,2.5473569771162086
1,YZ,-6.984619407771256,1.6129006565834376,2.5176678637168792
1,YZ,-6.984619407771256,1.6596483543209206,2.4871001869647027
1,YZ,-6.984619407771256,1.7058169025034784,2.4556646137315736
1,YZ,-6.984619407771256,1.7513901901916695,2.423372113749844
1,YZ,-6.984619407771256,1.7963523141676752,2.390233955784337
1,YZ,-6.984619407771256,1.840687584484874,2.356261703700003
1,YZ,-6.984619407771256,1.8843805299429937,2.321467212426607
1,YZ,-6.984619407771256,1.927415903486928,2.2858626238218402
1,YZ,-6.984619407771256,1.9697786875273362,2.249460362434307
1,YZ,-6.984619407771256,2.011454099181172,2.2122731311678625
1,YZ,-6.984619407771256,2.0524275954303013,2.174313906848823
1,YZ,-6.984619407771256,2.0926848781964273,2.1355959356975758
1,YZ,-6.984619407771256,2.132211899330533,2.096132728706195
1,YZ,-6.984619407771256,2.170994865515115,2.0559380569236536
1,YZ,-6.984619407771256,2.209020243077484,2.0150259466502893
